cnty_fips,display_name,MHI_value,MHItheme_range,PovertyValue,Povertytheme_range,,Foodstamp_Value,FoodStamp_theme_range,,Obesity_Value,Obesity_theme_range,Physicalinactivity_Value,Physicalinactivity_theme_range,unemployment_Value,Unemployment_theme_range
02013,"""Aleutians East, (AK)""",86000,"""$73,000 - $168,000 (615)""",16.2,15 - 19 (610),,4,0 - 7 (642),,27.8,27 - 31 (610),18.6,18 - 20 (628),2,1 - 3 (706)
02016,"""Aleutians West, (AK)""",112000,"""$73,000 - $168,000 (615)""",9.7,3 - 10 (638),,2.8,0 - 7 (642),,29.6,27 - 31 (610),21.3,20 - 23 (607),3.1,3 - 3 (670)
02020,"""Anchorage, (AK)""",99000,"""$73,000 - $168,000 (615)""",10.4,10 - 12 (628),,9.4,7 - 10 (629),,31.1,31 - 34 (623),16.9,16 - 18 (600),3.3,3 - 4 (573)
02050,"""Bethel, (AK)""",59000,"""$57,000 - $64,000 (665)""",21.9,19 - 42 (620),,39.5,18 - 54 (622),,33.8,31 - 34 (623),25.6,23 - 35 (609),8.8,5 - 15 (627)
02060,"""Bristol Bay, (AK)""",96000,"""$73,000 - $168,000 (615)""",13.6,13 - 15 (636),,6.3,0 - 7 (642),,33.7,31 - 34 (623),21.4,20 - 23 (607),4.3,4 - 5 (642)
02068,"""Denali, (AK)""",91000,"""$73,000 - $168,000 (615)""",7.3,3 - 10 (638),,4.1,0 - 7 (642),,16.1,12 - 22 (617),12,9 - 16 (630),6.3,5 - 15 (627)
02070,"""Dillingham, (AK)""",70000,"""$64,000 - $73,000 (594)""",19.7,19 - 42 (620),,26.7,18 - 54 (622),,34.1,31 - 34 (623),21.6,20 - 23 (607),5.6,5 - 15 (627)
02090,"""Fairbanks North Star, (AK)""",84000,"""$73,000 - $168,000 (615)""",7.8,3 - 10 (638),,5.9,0 - 7 (642),,32.3,31 - 34 (623),19.8,18 - 20 (628),3.7,3 - 4 (573)
02100,"""Haines, (AK)""",71000,"""$64,000 - $73,000 (594)""",10.3,10 - 12 (628),,7,0 - 7 (642),,19.5,12 - 22 (617),14.7,9 - 16 (630),6.6,5 - 15 (627)
02105,"""Hoonah-Angoon, (AK)""",64000,"""$57,000 - $64,000 (665)""",17.5,15 - 19 (610),,14.3,14 - 18 (633),,25.2,22 - 27 (620),13.9,9 - 16 (630),5.6,5 - 15 (627)
02110,"""Juneau, (AK)""",102000,"""$73,000 - $168,000 (615)""",7.9,3 - 10 (638),,7.1,7 - 10 (629),,28.4,27 - 31 (610),12.1,9 - 16 (630),2.8,3 - 3 (670)
02122,"""Kenai Peninsula, (AK)""",76000,"""$73,000 - $168,000 (615)""",11,10 - 12 (628),,8.9,7 - 10 (629),,30.9,31 - 34 (623),19.2,18 - 20 (628),4.5,4 - 5 (642)
02130,"""Ketchikan Gateway, (AK)""",83000,"""$73,000 - $168,000 (615)""",8.6,3 - 10 (638),,11.7,10 - 14 (614),,34.9,34 - 47 (604),20.1,18 - 20 (628),3.8,4 - 5 (642)
02150,"""Kodiak Island, (AK)""",83000,"""$73,000 - $168,000 (615)""",7.5,3 - 10 (638),,5.7,0 - 7 (642),,28.9,27 - 31 (610),18.8,18 - 20 (628),4.3,4 - 5 (642)
02164,"""Lake and Peninsula, (AK)""",63000,"""$57,000 - $64,000 (665)""",20.1,19 - 42 (620),,25.3,18 - 54 (622),,30.1,27 - 31 (610),17.7,16 - 18 (600),5.8,5 - 15 (627)
02170,"""Matanuska-Susitna, (AK)""",86000,"""$73,000 - $168,000 (615)""",9.8,3 - 10 (638),,9.1,7 - 10 (629),,34.4,34 - 47 (604),19.7,18 - 20 (628),4.6,5 - 15 (627)
02180,"""Nome, (AK)""",64000,"""$57,000 - $64,000 (665)""",19.9,19 - 42 (620),,30.2,18 - 54 (622),,33.4,31 - 34 (623),23.2,23 - 35 (609),6.9,5 - 15 (627)
02185,"""North Slope, (AK)""",96000,"""$73,000 - $168,000 (615)""",13.7,13 - 15 (636),,8.1,7 - 10 (629),,34.6,34 - 47 (604),24.8,23 - 35 (609),5,5 - 15 (627)
02188,"""Northwest Arctic, (AK)""",69000,"""$64,000 - $73,000 (594)""",19.7,19 - 42 (620),,29.7,18 - 54 (622),,33.3,31 - 34 (623),22.8,23 - 35 (609),9,5 - 15 (627)
02195,"""Petersburg, (AK)""",77000,"""$73,000 - $168,000 (615)""",7.1,3 - 10 (638),,10.1,7 - 10 (629),,22,22 - 27 (620),15.6,9 - 16 (630),5.8,5 - 15 (627)
02198,"""Prince of Wales-Hyder, (AK)""",58000,"""$57,000 - $64,000 (665)""",14.6,13 - 15 (636),,15.7,14 - 18 (633),,28,27 - 31 (610),23.1,23 - 35 (609),5.5,5 - 15 (627)
02220,"""Sitka, (AK)""",90000,"""$73,000 - $168,000 (615)""",7.9,3 - 10 (638),,5.7,0 - 7 (642),,27.8,27 - 31 (610),14.3,9 - 16 (630),2.8,3 - 3 (670)
02230,"""Skagway, (AK)""",74000,"""$73,000 - $168,000 (615)""",9.3,3 - 10 (638),,1.8,0 - 7 (642),,21.3,12 - 22 (617),15.9,16 - 18 (600),6.7,5 - 15 (627)
02240,"""Southeast Fairbanks, (AK)""",75000,"""$73,000 - $168,000 (615)""",12.5,13 - 15 (636),,10.6,10 - 14 (614),,31.4,31 - 34 (623),18.9,18 - 20 (628),5.2,5 - 15 (627)
02261,"""Valdez-Cordova, (AK)""",-1,,-1,,,-1,,,-1,,-1,,-1,
02158,"""Kusilvak, (AK)""",42000,"""$29,000 - $51,000 (710)""",29.8,19 - 42 (620),,54.1,18 - 54 (622),,23.7,22 - 27 (620),21.3,20 - 23 (607),12.9,5 - 15 (627)
02275,"""Wrangell, (AK)""",68000,"""$64,000 - $73,000 (594)""",12,10 - 12 (628),,8.7,7 - 10 (629),,25.6,22 - 27 (620),18,18 - 20 (628),5.1,5 - 15 (627)
02282,"""Yakutat, (AK)""",79000,"""$73,000 - $168,000 (615)""",11.7,10 - 12 (628),,3.8,0 - 7 (642),,19.8,12 - 22 (617),15.7,16 - 18 (600),5.1,5 - 15 (627)
02290,"""Yukon-Koyukuk, (AK)""",48000,"""$29,000 - $51,000 (710)""",21.1,19 - 42 (620),,25.7,18 - 54 (622),,26.4,22 - 27 (620),23.8,23 - 35 (609),7.9,5 - 15 (627)
06001,"""Alameda, (CA)""",121000,"""$73,000 - $168,000 (615)""",10.1,10 - 12 (628),,6.8,0 - 7 (642),,25.5,22 - 27 (620),14.9,9 - 16 (630),3.3,3 - 4 (573)
06005,"""Amador, (CA)""",74000,"""$73,000 - $168,000 (615)""",10.1,10 - 12 (628),,7,0 - 7 (642),,19.9,12 - 22 (617),14.5,9 - 16 (630),4.4,4 - 5 (642)
06007,"""Butte, (CA)""",63000,"""$57,000 - $64,000 (665)""",18.3,15 - 19 (610),,14.9,14 - 18 (633),,26.7,27 - 31 (610),16.9,16 - 18 (600),4.5,4 - 5 (642)
