"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",4,"0 - 7 (642)"
02016,"""Aleutians West, (AK)""",2.8,"0 - 7 (642)"
02020,"""Anchorage, (AK)""",9.4,"7 - 10 (629)"
02050,"""Bethel, (AK)""",39.5,"18 - 54 (622)"
02060,"""Bristol Bay, (AK)""",6.3,"0 - 7 (642)"
02068,"""Denali, (AK)""",4.1,"0 - 7 (642)"
02070,"""Dillingham, (AK)""",26.7,"18 - 54 (622)"
02090,"""Fairbanks North Star, (AK)""",5.9,"0 - 7 (642)"
02100,"""Haines, (AK)""",7,"0 - 7 (642)"
02105,"""Hoonah-Angoon, (AK)""",14.3,"14 - 18 (633)"
02110,"""Juneau, (AK)""",7.1,"7 - 10 (629)"
02122,"""Kenai Peninsula, (AK)""",8.9,"7 - 10 (629)"
02130,"""Ketchikan Gateway, (AK)""",11.7,"10 - 14 (614)"
02150,"""Kodiak Island, (AK)""",5.7,"0 - 7 (642)"
02164,"""Lake and Peninsula, (AK)""",25.3,"18 - 54 (622)"
02170,"""Matanuska-Susitna, (AK)""",9.1,"7 - 10 (629)"
02180,"""Nome, (AK)""",30.2,"18 - 54 (622)"
02185,"""North Slope, (AK)""",8.1,"7 - 10 (629)"
02188,"""Northwest Arctic, (AK)""",29.7,"18 - 54 (622)"
02195,"""Petersburg, (AK)""",10.1,"7 - 10 (629)"
02198,"""Prince of Wales-Hyder, (AK)""",15.7,"14 - 18 (633)"
02220,"""Sitka, (AK)""",5.7,"0 - 7 (642)"
02230,"""Skagway, (AK)""",1.8,"0 - 7 (642)"
02240,"""Southeast Fairbanks, (AK)""",10.6,"10 - 14 (614)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",54.1,"18 - 54 (622)"
02275,"""Wrangell, (AK)""",8.7,"7 - 10 (629)"
02282,"""Yakutat, (AK)""",3.8,"0 - 7 (642)"
02290,"""Yukon-Koyukuk, (AK)""",25.7,"18 - 54 (622)"
06001,"""Alameda, (CA)""",6.8,"0 - 7 (642)"
06005,"""Amador, (CA)""",7,"0 - 7 (642)"
06007,"""Butte, (CA)""",14.9,"14 - 18 (633)"
06009,"""Calaveras, (CA)""",11.5,"10 - 14 (614)"
06011,"""Colusa, (CA)""",7.1,"7 - 10 (629)"
06013,"""Contra Costa, (CA)""",5.6,"0 - 7 (642)"
06015,"""Del Norte, (CA)""",20.5,"18 - 54 (622)"
06017,"""El Dorado, (CA)""",6.3,"0 - 7 (642)"
06021,"""Glenn, (CA)""",12.6,"10 - 14 (614)"
06023,"""Humboldt, (CA)""",17.4,"14 - 18 (633)"
06031,"""Kings, (CA)""",16.9,"14 - 18 (633)"
06033,"""Lake, (CA)""",21.1,"18 - 54 (622)"
