"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",27.8,"27 - 31 (610)"
02016,"""Aleutians West, (AK)""",29.6,"27 - 31 (610)"
02020,"""Anchorage, (AK)""",31.1,"31 - 34 (623)"
02050,"""Bethel, (AK)""",33.8,"31 - 34 (623)"
02060,"""Bristol Bay, (AK)""",33.7,"31 - 34 (623)"
02068,"""Denali, (AK)""",16.1,"12 - 22 (617)"
02070,"""Dillingham, (AK)""",34.1,"31 - 34 (623)"
02090,"""Fairbanks North Star, (AK)""",32.3,"31 - 34 (623)"
02100,"""Haines, (AK)""",19.5,"12 - 22 (617)"
02105,"""Hoonah-Angoon, (AK)""",25.2,"22 - 27 (620)"
02110,"""Juneau, (AK)""",28.4,"27 - 31 (610)"
02122,"""Kenai Peninsula, (AK)""",30.9,"31 - 34 (623)"
02130,"""Ketchikan Gateway, (AK)""",34.9,"34 - 47 (604)"
02150,"""Kodiak Island, (AK)""",28.9,"27 - 31 (610)"
02164,"""Lake and Peninsula, (AK)""",30.1,"27 - 31 (610)"
02170,"""Matanuska-Susitna, (AK)""",34.4,"34 - 47 (604)"
02180,"""Nome, (AK)""",33.4,"31 - 34 (623)"
02185,"""North Slope, (AK)""",34.6,"34 - 47 (604)"
02188,"""Northwest Arctic, (AK)""",33.3,"31 - 34 (623)"
02195,"""Petersburg, (AK)""",22,"22 - 27 (620)"
02198,"""Prince of Wales-Hyder, (AK)""",28,"27 - 31 (610)"
02220,"""Sitka, (AK)""",27.8,"27 - 31 (610)"
02230,"""Skagway, (AK)""",21.3,"12 - 22 (617)"
02240,"""Southeast Fairbanks, (AK)""",31.4,"31 - 34 (623)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",23.7,"22 - 27 (620)"
02275,"""Wrangell, (AK)""",25.6,"22 - 27 (620)"
02282,"""Yakutat, (AK)""",19.8,"12 - 22 (617)"
02290,"""Yukon-Koyukuk, (AK)""",26.4,"22 - 27 (620)"
06001,"""Alameda, (CA)""",25.5,"22 - 27 (620)"
06005,"""Amador, (CA)""",19.9,"12 - 22 (617)"
06007,"""Butte, (CA)""",26.7,"27 - 31 (610)"
06009,"""Calaveras, (CA)""",20.8,"12 - 22 (617)"
06011,"""Colusa, (CA)""",18.4,"12 - 22 (617)"
06013,"""Contra Costa, (CA)""",24.5,"22 - 27 (620)"
06015,"""Del Norte, (CA)""",18.9,"12 - 22 (617)"
06017,"""El Dorado, (CA)""",25.4,"22 - 27 (620)"
06021,"""Glenn, (CA)""",18,"12 - 22 (617)"
06023,"""Humboldt, (CA)""",29.2,"27 - 31 (610)"
06031,"""Kings, (CA)""",28.7,"27 - 31 (610)"
06033,"""Lake, (CA)""",24.4,"22 - 27 (620)"
06035,"""Lassen, (CA)""",17.6,"12 - 22 (617)"
06041,"""Marin, (CA)""",17.2,"12 - 22 (617)"
06043,"""Mariposa, (CA)""",17.8,"12 - 22 (617)"
06045,"""Mendocino, (CA)""",23.2,"22 - 27 (620)"
06047,"""Merced, (CA)""",29.3,"27 - 31 (610)"
06049,"""Modoc, (CA)""",17.4,"12 - 22 (617)"
06053,"""Monterey, (CA)""",23.2,"22 - 27 (620)"
06055,"""Napa, (CA)""",17.6,"12 - 22 (617)"
06057,"""Nevada, (CA)""",19.5,"12 - 22 (617)"
06061,"""Placer, (CA)""",23.6,"22 - 27 (620)"
06063,"""Plumas, (CA)""",17.6,"12 - 22 (617)"
06067,"""Sacramento, (CA)""",30.8,"31 - 34 (623)"
06069,"""San Benito, (CA)""",18.9,"12 - 22 (617)"
06075,"""San Francisco, (CA)""",16.6,"12 - 22 (617)"
06077,"""San Joaquin, (CA)""",34,"31 - 34 (623)"
06079,"""San Luis Obispo, (CA)""",26.1,"22 - 27 (620)"
06081,"""San Mateo, (CA)""",19.9,"12 - 22 (617)"
06083,"""Santa Barbara, (CA)""",26.2,"22 - 27 (620)"
06085,"""Santa Clara, (CA)""",18.6,"12 - 22 (617)"
06087,"""Santa Cruz, (CA)""",16.6,"12 - 22 (617)"
06089,"""Shasta, (CA)""",25.3,"22 - 27 (620)"
06091,"""Sierra, (CA)""",17.4,"12 - 22 (617)"
06093,"""Siskiyou, (CA)""",19.1,"12 - 22 (617)"
06095,"""Solano, (CA)""",28.5,"27 - 31 (610)"
06097,"""Sonoma, (CA)""",23.7,"22 - 27 (620)"
06099,"""Stanislaus, (CA)""",34.7,"34 - 47 (604)"
06101,"""Sutter, (CA)""",24,"22 - 27 (620)"
06103,"""Tehama, (CA)""",23,"22 - 27 (620)"
06105,"""Trinity, (CA)""",17.1,"12 - 22 (617)"
06109,"""Tuolumne, (CA)""",15.8,"12 - 22 (617)"
06113,"""Yolo, (CA)""",24.3,"22 - 27 (620)"
06115,"""Yuba, (CA)""",21.3,"12 - 22 (617)"
15001,"""Hawaii, (HI)""",25.7,"22 - 27 (620)"
15003,"""Honolulu, (HI)""",24.5,"22 - 27 (620)"
15005,"""Kalawao, (HI)""",17.1,"12 - 22 (617)"
15007,"""Kauai, (HI)""",22.7,"22 - 27 (620)"
15009,"""Maui, (HI)""",24,"22 - 27 (620)"
41003,"""Benton, (OR)""",21.5,"12 - 22 (617)"
41005,"""Clackamas, (OR)""",30.1,"27 - 31 (610)"
41007,"""Clatsop, (OR)""",24.8,"22 - 27 (620)"
41009,"""Columbia, (OR)""",32.4,"31 - 34 (623)"
41011,"""Coos, (OR)""",34.6,"34 - 47 (604)"
41013,"""Crook, (OR)""",26.4,"22 - 27 (620)"
41015,"""Curry, (OR)""",21.7,"22 - 27 (620)"
41017,"""Deschutes, (OR)""",23.5,"22 - 27 (620)"
41019,"""Douglas, (OR)""",31.2,"31 - 34 (623)"
41021,"""Gilliam, (OR)""",17.1,"12 - 22 (617)"
41027,"""Hood River, (OR)""",20.1,"12 - 22 (617)"
41029,"""Jackson, (OR)""",26.9,"27 - 31 (610)"
41031,"""Jefferson, (OR)""",24.5,"22 - 27 (620)"
41033,"""Josephine, (OR)""",27.3,"27 - 31 (610)"
41035,"""Klamath, (OR)""",29.1,"27 - 31 (610)"
41037,"""Lake, (OR)""",19.6,"12 - 22 (617)"
41039,"""Lane, (OR)""",32.8,"31 - 34 (623)"
41041,"""Lincoln, (OR)""",32.6,"31 - 34 (623)"
41043,"""Linn, (OR)""",36.2,"34 - 47 (604)"
41047,"""Marion, (OR)""",37.1,"34 - 47 (604)"
41051,"""Multnomah, (OR)""",25.8,"22 - 27 (620)"
41053,"""Polk, (OR)""",34.5,"34 - 47 (604)"
41055,"""Sherman, (OR)""",17.1,"12 - 22 (617)"
41057,"""Tillamook, (OR)""",26.8,"27 - 31 (610)"
41065,"""Wasco, (OR)""",30.5,"27 - 31 (610)"
41067,"""Washington, (OR)""",30.9,"31 - 34 (623)"
41069,"""Wheeler, (OR)""",17,"12 - 22 (617)"
41071,"""Yamhill, (OR)""",32.5,"31 - 34 (623)"
53007,"""Chelan, (WA)""",28.1,"27 - 31 (610)"
53009,"""Clallam, (WA)""",27.1,"27 - 31 (610)"
53011,"""Clark, (WA)""",32.5,"31 - 34 (623)"
53015,"""Cowlitz, (WA)""",37.7,"34 - 47 (604)"
53027,"""Grays Harbor, (WA)""",33.9,"31 - 34 (623)"
53029,"""Island, (WA)""",28.6,"27 - 31 (610)"
53031,"""Jefferson, (WA)""",22.9,"22 - 27 (620)"
53033,"""King, (WA)""",22.9,"22 - 27 (620)"
53035,"""Kitsap, (WA)""",30.7,"31 - 34 (623)"
53037,"""Kittitas, (WA)""",26.7,"27 - 31 (610)"
53039,"""Klickitat, (WA)""",24.3,"22 - 27 (620)"
53041,"""Lewis, (WA)""",33,"31 - 34 (623)"
53045,"""Mason, (WA)""",32.5,"31 - 34 (623)"
53047,"""Okanogan, (WA)""",28,"27 - 31 (610)"
53049,"""Pacific, (WA)""",34.5,"34 - 47 (604)"
53053,"""Pierce, (WA)""",33.2,"31 - 34 (623)"
53055,"""San Juan, (WA)""",16.5,"12 - 22 (617)"
53057,"""Skagit, (WA)""",28.1,"27 - 31 (610)"
