cnty_fips,display_name,PovertyValue,Povertytheme_range
02013,"""Aleutians East, (AK)""",16.2,15 - 19 (610)
02016,"""Aleutians West, (AK)""",9.7,3 - 10 (638)
02020,"""Anchorage, (AK)""",10.4,10 - 12 (628)
02050,"""Bethel, (AK)""",21.9,19 - 42 (620)
02060,"""Bristol Bay, (AK)""",13.6,13 - 15 (636)
02068,"""Denali, (AK)""",7.3,3 - 10 (638)
02070,"""Dillingham, (AK)""",19.7,19 - 42 (620)
02090,"""Fairbanks North Star, (AK)""",7.8,3 - 10 (638)
02100,"""Haines, (AK)""",10.3,10 - 12 (628)
02105,"""Hoonah-Angoon, (AK)""",17.5,15 - 19 (610)
02110,"""Juneau, (AK)""",7.9,3 - 10 (638)
02122,"""Kenai Peninsula, (AK)""",11,10 - 12 (628)
02130,"""Ketchikan Gateway, (AK)""",8.6,3 - 10 (638)
02150,"""Kodiak Island, (AK)""",7.5,3 - 10 (638)
02164,"""Lake and Peninsula, (AK)""",20.1,19 - 42 (620)
02170,"""Matanuska-Susitna, (AK)""",9.8,3 - 10 (638)
02180,"""Nome, (AK)""",19.9,19 - 42 (620)
02185,"""North Slope, (AK)""",13.7,13 - 15 (636)
02188,"""Northwest Arctic, (AK)""",19.7,19 - 42 (620)
02195,"""Petersburg, (AK)""",7.1,3 - 10 (638)
02198,"""Prince of Wales-Hyder, (AK)""",14.6,13 - 15 (636)
02220,"""Sitka, (AK)""",7.9,3 - 10 (638)
02230,"""Skagway, (AK)""",9.3,3 - 10 (638)
02240,"""Southeast Fairbanks, (AK)""",12.5,13 - 15 (636)
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",29.8,19 - 42 (620)
02275,"""Wrangell, (AK)""",12,10 - 12 (628)
02282,"""Yakutat, (AK)""",11.7,10 - 12 (628)
02290,"""Yukon-Koyukuk, (AK)""",21.1,19 - 42 (620)
06001,"""Alameda, (CA)""",10.1,10 - 12 (628)
06005,"""Amador, (CA)""",10.1,10 - 12 (628)
06007,"""Butte, (CA)""",18.3,15 - 19 (610)
06009,"""Calaveras, (CA)""",12.1,10 - 12 (628)
06011,"""Colusa, (CA)""",10.7,10 - 12 (628)
06013,"""Contra Costa, (CA)""",8.7,3 - 10 (638)
06015,"""Del Norte, (CA)""",16.5,15 - 19 (610)
06017,"""El Dorado, (CA)""",7.6,3 - 10 (638)
06021,"""Glenn, (CA)""",14,13 - 15 (636)
06023,"""Humboldt, (CA)""",18,15 - 19 (610)
06031,"""Kings, (CA)""",17.9,15 - 19 (610)
06033,"""Lake, (CA)""",17.1,15 - 19 (610)
06035,"""Lassen, (CA)""",17.2,15 - 19 (610)
06041,"""Marin, (CA)""",7.7,3 - 10 (638)
06043,"""Mariposa, (CA)""",15.1,13 - 15 (636)
06045,"""Mendocino, (CA)""",17.6,15 - 19 (610)
06047,"""Merced, (CA)""",18.8,15 - 19 (610)
06049,"""Modoc, (CA)""",13.7,13 - 15 (636)
06053,"""Monterey, (CA)""",12.1,10 - 12 (628)
06055,"""Napa, (CA)""",8.6,3 - 10 (638)
06057,"""Nevada, (CA)""",10.6,10 - 12 (628)
06061,"""Placer, (CA)""",6.2,3 - 10 (638)
06063,"""Plumas, (CA)""",12.6,13 - 15 (636)
06067,"""Sacramento, (CA)""",12.2,10 - 12 (628)
06069,"""San Benito, (CA)""",7.2,3 - 10 (638)
06075,"""San Francisco, (CA)""",10.4,10 - 12 (628)
06077,"""San Joaquin, (CA)""",12.3,10 - 12 (628)
06079,"""San Luis Obispo, (CA)""",11.9,10 - 12 (628)
06081,"""San Mateo, (CA)""",7.2,3 - 10 (638)
06083,"""Santa Barbara, (CA)""",14.1,13 - 15 (636)
06085,"""Santa Clara, (CA)""",7.5,3 - 10 (638)
06087,"""Santa Cruz, (CA)""",12.5,13 - 15 (636)
06089,"""Shasta, (CA)""",13.9,13 - 15 (636)
06091,"""Sierra, (CA)""",12.2,10 - 12 (628)
06093,"""Siskiyou, (CA)""",15.8,15 - 19 (610)
06095,"""Solano, (CA)""",10,3 - 10 (638)
06097,"""Sonoma, (CA)""",8.9,3 - 10 (638)
06099,"""Stanislaus, (CA)""",15,13 - 15 (636)
06101,"""Sutter, (CA)""",14.1,13 - 15 (636)
06103,"""Tehama, (CA)""",15.1,13 - 15 (636)
06105,"""Trinity, (CA)""",16.8,15 - 19 (610)
06109,"""Tuolumne, (CA)""",13.5,13 - 15 (636)
06113,"""Yolo, (CA)""",16.1,15 - 19 (610)
06115,"""Yuba, (CA)""",14.9,13 - 15 (636)
15001,"""Hawaii, (HI)""",14.6,13 - 15 (636)
15003,"""Honolulu, (HI)""",9.3,3 - 10 (638)
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",9.1,3 - 10 (638)
15009,"""Maui, (HI)""",9,3 - 10 (638)
41003,"""Benton, (OR)""",17.8,15 - 19 (610)
41005,"""Clackamas, (OR)""",8.2,3 - 10 (638)
41007,"""Clatsop, (OR)""",12.9,13 - 15 (636)
41009,"""Columbia, (OR)""",11.2,10 - 12 (628)
41011,"""Coos, (OR)""",16.5,15 - 19 (610)
41013,"""Crook, (OR)""",10.6,10 - 12 (628)
41015,"""Curry, (OR)""",13.9,13 - 15 (636)
41017,"""Deschutes, (OR)""",9.6,3 - 10 (638)
41019,"""Douglas, (OR)""",16.9,15 - 19 (610)
41021,"""Gilliam, (OR)""",11.2,10 - 12 (628)
41027,"""Hood River, (OR)""",10.1,10 - 12 (628)
41029,"""Jackson, (OR)""",12.5,13 - 15 (636)
41031,"""Jefferson, (OR)""",12,10 - 12 (628)
41033,"""Josephine, (OR)""",18,15 - 19 (610)
41035,"""Klamath, (OR)""",15.5,15 - 19 (610)
41037,"""Lake, (OR)""",16.5,15 - 19 (610)
41039,"""Lane, (OR)""",15.1,13 - 15 (636)
41041,"""Lincoln, (OR)""",15.5,15 - 19 (610)
41043,"""Linn, (OR)""",12.8,13 - 15 (636)
41047,"""Marion, (OR)""",13.6,13 - 15 (636)
41051,"""Multnomah, (OR)""",12.1,10 - 12 (628)
41053,"""Polk, (OR)""",12.7,13 - 15 (636)
41055,"""Sherman, (OR)""",13.3,13 - 15 (636)
41057,"""Tillamook, (OR)""",12,10 - 12 (628)
41065,"""Wasco, (OR)""",16,15 - 19 (610)
41067,"""Washington, (OR)""",7.6,3 - 10 (638)
41069,"""Wheeler, (OR)""",15.9,15 - 19 (610)
41071,"""Yamhill, (OR)""",10.7,10 - 12 (628)
53007,"""Chelan, (WA)""",9.3,3 - 10 (638)
53009,"""Clallam, (WA)""",11.8,10 - 12 (628)
53011,"""Clark, (WA)""",8.6,3 - 10 (638)
53015,"""Cowlitz, (WA)""",13.2,13 - 15 (636)
53027,"""Grays Harbor, (WA)""",18.3,15 - 19 (610)
53029,"""Island, (WA)""",6.6,3 - 10 (638)
53031,"""Jefferson, (WA)""",11.2,10 - 12 (628)
53033,"""King, (WA)""",8.5,3 - 10 (638)
53035,"""Kitsap, (WA)""",9.5,3 - 10 (638)
53037,"""Kittitas, (WA)""",11,10 - 12 (628)
53039,"""Klickitat, (WA)""",12.1,10 - 12 (628)
53041,"""Lewis, (WA)""",11.7,10 - 12 (628)
53045,"""Mason, (WA)""",11.4,10 - 12 (628)
53047,"""Okanogan, (WA)""",16.9,15 - 19 (610)
53049,"""Pacific, (WA)""",13.6,13 - 15 (636)
53053,"""Pierce, (WA)""",9.1,3 - 10 (638)
53055,"""San Juan, (WA)""",9.5,3 - 10 (638)
53057,"""Skagit, (WA)""",11.4,10 - 12 (628)
53059,"""Skamania, (WA)""",9.6,3 - 10 (638)
53061,"""Snohomish, (WA)""",8.5,3 - 10 (638)
53067,"""Thurston, (WA)""",8.7,3 - 10 (638)
53069,"""Wahkiakum, (WA)""",11.4,10 - 12 (628)
53073,"""Whatcom, (WA)""",11.5,10 - 12 (628)
53077,"""Yakima, (WA)""",16.5,15 - 19 (610)
04001,"""Apache, (AZ)""",28.2,19 - 42 (620)
04003,"""Cochise, (AZ)""",17.7,15 - 19 (610)
