"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",2,"1 - 3 (706)"
02016,"""Aleutians West, (AK)""",3.1,"3 - 3 (670)"
02020,"""Anchorage, (AK)""",3.3,"3 - 4 (573)"
02050,"""Bethel, (AK)""",8.8,"5 - 15 (627)"
02060,"""Bristol Bay, (AK)""",4.3,"4 - 5 (642)"
02068,"""Denali, (AK)""",6.3,"5 - 15 (627)"
02070,"""Dillingham, (AK)""",5.6,"5 - 15 (627)"
02090,"""Fairbanks North Star, (AK)""",3.7,"3 - 4 (573)"
02100,"""Haines, (AK)""",6.6,"5 - 15 (627)"
02105,"""Hoonah-Angoon, (AK)""",5.6,"5 - 15 (627)"
02110,"""Juneau, (AK)""",2.8,"3 - 3 (670)"
02122,"""Kenai Peninsula, (AK)""",4.5,"4 - 5 (642)"
02130,"""Ketchikan Gateway, (AK)""",3.8,"4 - 5 (642)"
02150,"""Kodiak Island, (AK)""",4.3,"4 - 5 (642)"
02164,"""Lake and Peninsula, (AK)""",5.8,"5 - 15 (627)"
02170,"""Matanuska-Susitna, (AK)""",4.6,"5 - 15 (627)"
02180,"""Nome, (AK)""",6.9,"5 - 15 (627)"
02185,"""North Slope, (AK)""",5,"5 - 15 (627)"
02188,"""Northwest Arctic, (AK)""",9,"5 - 15 (627)"
02195,"""Petersburg, (AK)""",5.8,"5 - 15 (627)"
02198,"""Prince of Wales-Hyder, (AK)""",5.5,"5 - 15 (627)"
02220,"""Sitka, (AK)""",2.8,"3 - 3 (670)"
02230,"""Skagway, (AK)""",6.7,"5 - 15 (627)"
02240,"""Southeast Fairbanks, (AK)""",5.2,"5 - 15 (627)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",12.9,"5 - 15 (627)"
02275,"""Wrangell, (AK)""",5.1,"5 - 15 (627)"
02282,"""Yakutat, (AK)""",5.1,"5 - 15 (627)"
02290,"""Yukon-Koyukuk, (AK)""",7.9,"5 - 15 (627)"
06001,"""Alameda, (CA)""",3.3,"3 - 4 (573)"
06005,"""Amador, (CA)""",4.4,"4 - 5 (642)"
06007,"""Butte, (CA)""",4.5,"4 - 5 (642)"
06009,"""Calaveras, (CA)""",3.6,"3 - 4 (573)"
06011,"""Colusa, (CA)""",11.6,"5 - 15 (627)"
06013,"""Contra Costa, (CA)""",3.5,"3 - 4 (573)"
06015,"""Del Norte, (CA)""",5.1,"5 - 15 (627)"
06017,"""El Dorado, (CA)""",3.4,"3 - 4 (573)"
06021,"""Glenn, (CA)""",5.3,"5 - 15 (627)"
06023,"""Humboldt, (CA)""",4,"4 - 5 (642)"
06031,"""Kings, (CA)""",7,"5 - 15 (627)"
06033,"""Lake, (CA)""",5,"5 - 15 (627)"
06035,"""Lassen, (CA)""",4.5,"4 - 5 (642)"
06041,"""Marin, (CA)""",2.7,"3 - 3 (670)"
06043,"""Mariposa, (CA)""",4.5,"4 - 5 (642)"
06045,"""Mendocino, (CA)""",4.1,"4 - 5 (642)"
06047,"""Merced, (CA)""",7.7,"5 - 15 (627)"
06049,"""Modoc, (CA)""",5.5,"5 - 15 (627)"
06053,"""Monterey, (CA)""",5.9,"5 - 15 (627)"
06055,"""Napa, (CA)""",3.2,"3 - 3 (670)"
06057,"""Nevada, (CA)""",3.4,"3 - 4 (573)"
06061,"""Placer, (CA)""",3.1,"3 - 3 (670)"
06063,"""Plumas, (CA)""",6.5,"5 - 15 (627)"
06067,"""Sacramento, (CA)""",3.9,"4 - 5 (642)"
06069,"""San Benito, (CA)""",5,"5 - 15 (627)"
06075,"""San Francisco, (CA)""",2.5,"1 - 3 (706)"
06077,"""San Joaquin, (CA)""",5.2,"5 - 15 (627)"
06079,"""San Luis Obispo, (CA)""",3,"3 - 3 (670)"
06081,"""San Mateo, (CA)""",2.4,"1 - 3 (706)"
06083,"""Santa Barbara, (CA)""",3.5,"3 - 4 (573)"
06085,"""Santa Clara, (CA)""",2.6,"1 - 3 (706)"
06087,"""Santa Cruz, (CA)""",4.8,"5 - 15 (627)"
06089,"""Shasta, (CA)""",4.6,"5 - 15 (627)"
06091,"""Sierra, (CA)""",4.2,"4 - 5 (642)"
06093,"""Siskiyou, (CA)""",5.7,"5 - 15 (627)"
06095,"""Solano, (CA)""",4.2,"4 - 5 (642)"
06097,"""Sonoma, (CA)""",3.1,"3 - 3 (670)"
06099,"""Stanislaus, (CA)""",5.4,"5 - 15 (627)"
06101,"""Sutter, (CA)""",6.6,"5 - 15 (627)"
06103,"""Tehama, (CA)""",4.8,"5 - 15 (627)"
06105,"""Trinity, (CA)""",4.6,"5 - 15 (627)"
06109,"""Tuolumne, (CA)""",4.5,"4 - 5 (642)"
06113,"""Yolo, (CA)""",4,"4 - 5 (642)"
06115,"""Yuba, (CA)""",5.5,"5 - 15 (627)"
15001,"""Hawaii, (HI)""",3.6,"3 - 4 (573)"
15003,"""Honolulu, (HI)""",3.5,"3 - 4 (573)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",3.6,"3 - 4 (573)"
15009,"""Maui, (HI)""",3.5,"3 - 4 (573)"
41003,"""Benton, (OR)""",3.6,"3 - 4 (573)"
41005,"""Clackamas, (OR)""",3.8,"4 - 5 (642)"
41007,"""Clatsop, (OR)""",4.3,"4 - 5 (642)"
41009,"""Columbia, (OR)""",4.8,"5 - 15 (627)"
41011,"""Coos, (OR)""",5.3,"5 - 15 (627)"
41013,"""Crook, (OR)""",5.5,"5 - 15 (627)"
41015,"""Curry, (OR)""",5.4,"5 - 15 (627)"
41017,"""Deschutes, (OR)""",4.2,"4 - 5 (642)"
41019,"""Douglas, (OR)""",5.3,"5 - 15 (627)"
41021,"""Gilliam, (OR)""",4,"4 - 5 (642)"
41027,"""Hood River, (OR)""",3.6,"3 - 4 (573)"
41029,"""Jackson, (OR)""",4.7,"5 - 15 (627)"
41031,"""Jefferson, (OR)""",5.5,"5 - 15 (627)"
41033,"""Josephine, (OR)""",5.6,"5 - 15 (627)"
